CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,wB97M-V
mlm_C2H3O2He2Ba1Pa1Am1_8b7d3b,12,95,1.210980809015112,0.6015144658275462,0.7105232024324898,0.527668
mlm_C2H4Ar1Ga1Md1Lr1_0b9041,9,101,0.752371298687451,0.3689886028586566,0.6823415805929424,0.440757
mlm_C2H4Ar1Ga1Md1Lr1_0b9041,10,103,1.6498306564130012,0.3134455149763484,0.7031109561593402,0.634327
mlm_C2H4B2As1Fm1Md1_7e5103,10,100,1.079168695043975,0.5299925249941297,0.5073828498891948,0.543035
mlm_C2H4B2As1Fm1Md1_7e5103,11,101,1.8345393056209056,0.4230106210075324,0.5607257007248643,0.449568
mlm_C2H4O1B1Np1Cf1_f488ed,9,93,-1.4947099389905516,0.4660068022800264,0.7082422981093152,0.658297
mlm_C2H4O1B1Np1Cf1_f488ed,10,98,2.720101288081632,0.6685661322554639,0.658242665385503,0.804195
mlm_C2H5He2Be1Th1Pa1_936eb9,11,90,0.8325683374563029,0.2941581095662899,0.6478797299169197,0.530346
mlm_C2H5He2Be1Th1Pa1_936eb9,12,91,0.4026500381789222,0.3901913698410049,0.7358063751819334,0.680853
mlm_C2H5Mg1S1Th1Md1_2e532f,10,90,0.921284198383118,0.5125634003136643,0.7345665530678401,0.944464
mlm_C2H5Mg1S1Th1Md1_2e532f,11,101,-0.4714384493268478,0.3304784787516288,0.7538281805413188,0.431187
mlm_C3H2Al1U1Fm1_427d04,7,92,0.994836293923375,0.3882396577016059,0.6745047315922046,0.994179
mlm_C3H2Al1U1Fm1_427d04,8,100,0.0326719661653744,0.4500660536789229,0.6443589830066726,0.394176
mlm_C3H3He1Mg1Np1Md1_6b380c,9,93,0.416999717648808,0.378690468101573,0.584240325232037,0.833712
mlm_C3H3He1Mg1Np1Md1_6b380c,10,101,0.8971254964842671,0.1745191381687986,0.6514537136364559,0.232246
mlm_H1F2P2Cl1Np1Fm1_73497f,7,93,-1.900894810148435,0.4661861199524879,0.587559472064609,0.384046
mlm_H1F2P2Cl1Np1Fm1_73497f,8,100,2.2323491895512504,0.4170722176722864,0.5269756845841781,0.302782
mlm_H1N2He1Ne1Te1U1Np1_272c9a,7,92,0.637722429624183,0.5045803194749301,0.5740615788586797,0.619098
mlm_H1N2He1Ne1Te1U1Np1_272c9a,8,93,-0.1671369036655252,0.4897678844485594,0.4790267587531646,0.28072
mlm_H1O1He1B1F1Ba1Cm1Es1_3d5d37,7,96,-0.8607246177616614,0.4070493301287151,0.5397406634138566,0.065191
mlm_H1O1He1B1F1Ba1Cm1Es1_3d5d37,8,99,1.5522224279942618,0.4031886260636899,0.4998883172712811,0.55755
mlm_H2Be2Ne1P1Th1Pu1_00c347,7,90,1.0786743940555883,0.2803229552973022,0.5699038812301899,0.759883
mlm_H2Be2Ne1P1Th1Pu1_00c347,8,94,-0.2153530045826057,0.4149878647246161,0.4778917356460711,0.651997
mlm_H2F2Al1Cl1Th1U1_5d8a38,7,90,-0.7127521923984079,0.3527579066387819,0.5734879555696345,0.193048
mlm_H2F2Al1Cl1Th1U1_5d8a38,8,92,0.4895726005308047,0.3526447069807091,0.7131399191162241,0.398013
mlm_H2He1Ne1Mg1Cl1Ac1Am1_b5a0e5,7,89,0.158305890193888,0.2280296280630026,0.6421181976307658,0.485577
mlm_H2He1Ne1Mg1Cl1Ac1Am1_b5a0e5,8,95,-0.0751957019539207,0.3861916192253035,0.6244642321262046,0.393918
mlm_H2N1He1K2Ac1Lr1_d143d4,7,89,-1.3059220479161473,0.6243939398818515,0.7686370229624072,0.325328
mlm_H2N1He1K2Ac1Lr1_d143d4,8,103,1.9500263797476012,0.1359601261588918,0.3904636284736688,0.29888
mlm_H2N2B1Ne1Cm1Md1_43b953,7,96,-0.6727309618667292,0.6916179288825827,0.4698412483055979,0.650275
mlm_H2N2B1Ne1Cm1Md1_43b953,8,101,2.54380043281453,0.6069857976515823,0.962745358669486,0.835192
mlm_H2O2F1Si1Pa1No1_a0bc12,7,91,-1.2182139949104849,0.7454688070787987,0.8919527990584036,0.690559
mlm_H2O2F1Si1Pa1No1_a0bc12,8,102,2.6464521130786336,0.4473961907344914,0.5965339308524298,0.635392
mlm_H2O2Li1Al1Th1Lr1_ef6fbe,7,90,-0.9561803892308314,0.4382006984994085,0.5849612290980419,0.306716
mlm_H2O2Li1Al1Th1Lr1_ef6fbe,8,103,1.814127718442744,0.2193433674893184,0.5787340751553159,0.266718
mlm_H3Ar2Xe1Ac1Cm1_57d81e,7,89,0.0051511892163202,0.31142452154217,0.6227644364701264,0.47553
mlm_H3Ar2Xe1Ac1Cm1_57d81e,8,96,0.413294817283355,0.244058148640449,0.5630856836614144,0.215612
mlm_H3Be1Cl1K1Pu1No1_92e17c,7,94,-0.789425515362792,0.3120328647757616,0.5292976393163648,0.465526
mlm_H3Be1Cl1K1Pu1No1_92e17c,8,102,1.4753040997774929,0.0343700491493482,0.4713419502435026,0.168844
mlm_H3Be1Mg1Ba1Cm1No1_6656af,7,96,-2.649509775374753,0.0432751217146275,0.3612321303714141,0.222888
mlm_H3Be1Mg1Ba1Cm1No1_6656af,8,102,2.7093207529714207,-0.0691347434836245,0.432875435016154,0.191355
mlm_H3Be2P2U1Am1_8d238c,8,92,-1.6915536695067572,0.1353498612563931,0.1993130653640987,0.175167
mlm_H3Be2P2U1Am1_8d238c,9,95,0.4996506285445428,0.3542814812887319,0.3468608072444346,0.629601
mlm_H3Be2Po2Th1Np1_73cbfb,8,90,-0.0432054318190995,0.1892525478936087,0.5828927841423515,0.480217
mlm_H3Be2Po2Th1Np1_73cbfb,9,93,0.5913730772211485,0.2292114361999654,0.5941068383561539,0.529811
mlm_H3F1Al1Sn1Po1Th1Cf1_8b2ff7,8,90,-1.5732887061861462,0.2655096326684647,0.6150736138717965,0.229212
mlm_H3F1Al1Sn1Po1Th1Cf1_8b2ff7,9,98,1.3634791847370265,0.6490643897447814,0.787606644409615,0.508378
mlm_H3F2Na2Am1Es1_c8335f,8,95,-2.120523088959139,0.3736790824883359,0.073776059705584,0.36015
mlm_H3F2Na2Am1Es1_c8335f,9,99,1.7397502276619508,0.4465135461948963,0.7841927154113257,0.046387
mlm_H3He2Ar1Pa1Md1_2e5d1c,7,91,1.0049082080222025,0.4727381563705897,0.5519398212041113,0.942812
mlm_H3He2Ar1Pa1Md1_2e5d1c,8,101,0.069475657888625,0.2728186148109219,0.7058870835082175,0.317645
mlm_H3N1B1At1Np1Bk1_006d89,7,93,-1.8740440681286108,0.337876969619864,0.1518533321348072,0.34928
mlm_H3N1B1At1Np1Bk1_006d89,8,97,1.1661168622684124,0.0537271935272858,0.2737510255458026,0.280659
mlm_H3N1B1Mg1Th1Fm1_ce9025,7,90,0.8764500714865757,0.4186540150968493,0.596416317824089,0.831689
mlm_H3N1B1Mg1Th1Fm1_ce9025,8,100,-0.1922987422221406,0.2601764571284832,0.5873766046575568,0.271627
