CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,GFN1-xTB,GFN2-xTB,wB97M-V
2.9A,6,8,-0.0054181018561925,-0.1761404870659872,-0.0713575921495676,-0.03386477,-0.02022452,0.018056
2.9A,7,8,0.0097345452904726,-0.184428381575676,-0.0731642392586991,-0.02794002,-0.02008314,0.021347
3.0A,1,6,-0.1026549670424936,-0.2346940561625937,-0.0957214360184861,-0.1241844,-0.15616891,-0.12021
3.0A,2,1,0.0281107167270761,0.1689797154141341,0.0673035597174957,0.0550361,0.05424602,0.012081
3.0A,3,1,0.0231628266393887,0.1306729028187681,0.0505803311585344,0.03726742,0.04262233,0.026382
3.0A,4,1,0.0237462960173854,0.1365229976299087,0.0527235995302983,0.0404359,0.04504679,0.026256
3.0A,5,1,0.0246536132086508,0.1526331682503343,0.0600975782419177,0.04349958,0.04544742,0.021482
3.0A,6,8,-0.0033168644380623,-0.1735795140585769,-0.0665546607785669,-0.02823949,-0.01516525,0.015767
3.0A,7,8,0.0062983794348769,-0.1805352138919745,-0.0684289718511932,-0.0238151,-0.01602839,0.018267
3.1A,1,6,-0.1007243337587961,-0.2364353072034433,-0.0985609480690356,-0.12540584,-0.15568937,-0.118577
3.1A,2,1,0.0268730893218569,0.166259850863295,0.0651749701626132,0.05103997,0.04998914,0.01359
3.1A,3,1,0.0234750746575111,0.1308000290715197,0.0493611617631558,0.03679041,0.04195687,0.026813
3.1A,4,1,0.0238596249558405,0.1363180616143475,0.0512876418480803,0.03933988,0.04369454,0.026601
3.1A,5,1,0.0244754404544809,0.1513408346885222,0.0581875230458094,0.04194966,0.04376471,0.022263
3.1A,6,8,-0.0021251632489549,-0.171205803941133,-0.0617704170246319,-0.0234983,-0.01107693,0.013734
3.1A,7,8,0.0041662681858323,-0.177077665093108,-0.0636799317259911,-0.02021579,-0.01263895,0.0156
3.2A,1,6,-0.0993051475202917,-0.2380170108354445,-0.1013639363297608,-0.12658869,-0.15538978,-0.11722
3.2A,2,1,0.0259661012085754,0.1638263011327584,0.0630213206156968,0.04781492,0.0466703,0.015037
3.2A,3,1,0.0236795119359961,0.130903889276561,0.048163627818573,0.03634999,0.04138151,0.027129
3.2A,4,1,0.0239304879598456,0.1361172182633161,0.0498828096229153,0.0383955,0.04260056,0.026873
3.2A,5,1,0.024342856766593,0.1501581725780412,0.0562907547170068,0.04061547,0.04240477,0.022958
3.2A,6,8,-0.0014669825987339,-0.1690021962488143,-0.0570366645669283,-0.01950072,-0.00782136,0.011935
3.2A,7,8,0.002853172830231,-0.1739863741664179,-0.058957911877503,-0.01708647,-0.009846,0.013311
3.3A,1,6,-0.0983009848562739,-0.2394586922163395,-0.1041114171216763,-0.12769232,-0.15521537,-0.116093
3.3A,2,1,0.0253290921758593,0.1616377766749839,0.0608603309140488,0.04519923,0.04410986,0.0164
3.3A,3,1,0.0238133013748526,0.1309873559617783,0.0469961901744061,0.03595441,0.04089119,0.027358
3.3A,4,1,0.0239755304303193,0.1359205057211916,0.048519438091167,0.03758803,0.0417242,0.027086
3.3A,5,1,0.0242485811357204,0.1490719331184856,0.054426020751033,0.0394712,0.04132043,0.023575
3.3A,6,8,-0.0010938434714813,-0.166953171839527,-0.052389129111965,-0.01613751,-0.00526721,0.010344
3.3A,7,8,0.002028323802915,-0.1712057074205729,-0.0543014336970137,-0.01438304,-0.0075631,0.011353
3.4A,1,6,-0.0976086613325,-0.2407771909272466,-0.1067850542020922,-0.12869036,-0.15512612,-0.115164
3.4A,2,1,0.024894324757979,0.1596605039018606,0.0587133004301287,0.04306512,0.04219411,0.017668
3.4A,3,1,0.0239007081659466,0.1310530354225093,0.0458662515063964,0.03561241,0.0404909,0.027524
3.4A,4,1,0.0240045849940544,0.1357280240059045,0.0472063417245352,0.03690794,0.0410447,0.027249
3.4A,5,1,0.0241836390793429,0.1480709838556256,0.052610168348556,0.03849833,0.04049522,0.024124
3.4A,6,8,-0.0008675717266057,-0.1650447323908611,-0.0478635620188283,-0.01332344,-0.00333492,0.008954
3.4A,7,8,0.0014929766598184,-0.1686906238677924,-0.0497474457886958,-0.01207,-0.00576389,0.009667
3.5A,1,6,-0.0971395577174367,-0.2419870207460379,-0.1093676176600312,-0.12955884,-0.15509301,-0.114389
3.5A,2,1,0.0246032663663615,0.1578665921414013,0.0566018282579797,0.04131811,0.04079257,0.018833
3.5A,3,1,0.0239576177827893,0.1311032567424027,0.0447806358984451,0.03534572,0.04017087,0.027638
3.5A,4,1,0.0240235140425639,0.1355398885564857,0.0459513099311289,0.03636093,0.04052717,0.027374
3.5A,5,1,0.0241399029049315,0.1471458848476806,0.0508584311259952,0.03769523,0.03988282,0.02461
3.5A,6,8,-0.0007184566909974,-0.1632642756364248,-0.0434937319662636,-0.01101652,-0.00191231,0.007732
3.5A,7,8,0.0011337139132405,-0.1664043259055075,-0.0453308555872541,-0.01014462,-0.0043681,0.008225
3.6A,1,6,-0.0968253664658205,-0.2431006913553346,-0.1118435085952717,-0.13027764,-0.15509644,-0.113744
3.6A,2,1,0.0244109912159038,0.156232803107646,0.0545464363631524,0.03989385,0.03980243,0.019893
3.6A,3,1,0.0239944946089205,0.131140078853703,0.0437455521761524,0.03517617,0.03992301,0.027711
3.6A,4,1,0.0240359130437929,0.1353562031515738,0.0447611024198154,0.03595816,0.04014352,0.027465
3.6A,5,1,0.0241109438496126,0.1462885643663561,0.0491842462509814,0.03706816,0.03944691,0.025035
3.6A,6,8,-0.0006124959097673,-0.1616004698028136,-0.0393101463036662,-0.00919952,-0.00090642,0.006667
